"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4100","has title","webkit","2026-08-04","passed","2026-08-04","","example.spec.ts","",""
"","688","has title","chromium","2026-08-04","passed","2026-08-04","","example.spec.ts","",""
"","392","get started link","chromium","2026-08-04","passed","2026-08-04","","example.spec.ts","",""
"","1000","get started link","firefox","2026-08-04","passed","2026-08-04","","example.spec.ts","",""
"","2363","get started link","webkit","2026-08-04","passed","2026-08-04","","example.spec.ts","",""
"","1313","has title","firefox","2026-08-04","passed","2026-08-04","","example.spec.ts","",""
