"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30101","Verify search functionality on Playwright website","firefox","2026-08-04","broken","2026-08-04","","example.spec.ts","",""
"","30038","Verify search functionality on Playwright website","chromium","2026-08-04","broken","2026-08-04","","example.spec.ts","",""
"","30061","Verify search functionality on Playwright website","webkit","2026-08-04","broken","2026-08-04","","example.spec.ts","",""
